text,label
"Không biết khi nào mới xong",0
"Hẹn gặp em lúc 7h tối tại rạp phim",1
"Đi công tác về nhớ mua quà",0
"Sáng thứ 4 gặp sếp bàn việc",1
"Tối nay 8h online chơi game nhé",1
"Máy tính lại hỏng rồi",0
"Đặt bàn lúc 7h tối nay cho 4 người",1
"Sáng mai qua đón tôi đi làm lúc 7h30",1
"Việc này để sau hãy tính",0
"10h sáng nay họp báo",1
"Chiều nay 4h đi đánh tennis",1
"Cảm ơn vì đã giúp đỡ",0
"Hẹn gặp đối tác lúc 2h chiều tại văn phòng",1
"Mai đi bảo trì xe lúc 9h sáng",1
"Đang đợi kết quả xét nghiệm",0
"Tối nay 7h gặp nhau ở quán cũ",1
"Nhắc lịch uống thuốc lúc 8h tối",1
"Cần người hướng dẫn sử dụng",0
"Thứ 6 tuần này 15h đi ký hợp đồng",1
"Sáng mai 9h có buổi hội chẩn",1
"Phim này hay quá",0
"Trưa mai 12h gặp ở canteen",1
"8h tối nay xem livestream nhé",1
"Làm ơn đừng làm phiền lúc này",0
"Hẹn gặp lại sau 1 tiếng nữa",1
"Mai mấy giờ bắt đầu hội thảo",1
"Gửi link download cho tôi",0
"10h sáng mai ra sân bay đón người thân",1
"Chiều nay 5h đi tập gym không",1
"Đang ở đâu đấy",0
"Thứ 7 này 9h đi bảo dưỡng máy lạnh",1
"Tối nay 6h qua nhà ăn cơm",1
"Mất mạng rồi không làm việc được",0
"Hẹn gặp sếp lúc 2h chiều nay",1
"Sáng mai 7h đi ăn sáng",1
"Cái này giá bao nhiêu",0
"Lát 3h chiều sync công việc tí",1
"Cuối tuần này đi từ thiện nhé",1
"Đang kiểm tra lại dữ liệu",0
"9h sáng mai họp trực tuyến",1
"Chiều nay 4h trả nợ nhé",1
"Chờ tôi một chút",0
"Thứ 2 tuần sau 10h khai mạc",1
"Hẹn em tối nay 8h ở quán cafe",1
"Mệt mỏi quá đi mất",0
"Trưa mai 11h30 đi ăn buffet",1
"Sáng mai 8h tập trung tại cổng",1
"Gửi hộ địa chỉ nhà khách hàng",0
"Check lịch trống thứ 4 tuần sau đi cafe",1
"Sáng mai 10h review lương với HR",1
"Chỉnh lại cái slide này giúp anh",0
"Tối nay 9h làm ván game không",1
"Cần mua thêm văn phòng phẩm",0
"Chiều nay 3h30 kickoff dự án mới",1
"Mai mấy giờ em qua lấy hồ sơ?",1
"Hôm nay trời âm u quá",0
"Hẹn gặp tại cổng C lúc 5h chiều",1
"Nhắc mình 2h chiều gọi cho mẹ",1
"Máy in lại bị kẹt giấy rồi",0
"Thứ 6 này 19h đi party sinh nhật",1
"Sáng mai 8h có buổi training nội bộ",1
"Gửi cho tôi danh sách khách hàng",0
"Trưa nay 12h15 ăn cơm văn phòng nha",1
"Tối mai 7h qua trung tâm học tiếng Anh",1
"Đang bận làm báo cáo tháng",0
"Cuối tuần này 8h sáng đi trekking",1
"Set up buổi họp với bên cung ứng lúc 2h",1
"Cái này xử lý sao em nhỉ",0
"Mai 9h đi đăng ký xe mới",1
"Lát 5h chiều ghé shop lấy đồ",1
"Điện thoại sắp hết pin rồi",0
"10h sáng mai phỏng vấn vòng 2",1
"Chiều nay 2h gặp bảo hiểm",1
"Lương tháng này chưa thấy về",0
"Hẹn gặp ở sảnh chung cư lúc 6h tối",1
"Thứ 4 tuần tới 14h đi nộp hồ sơ",1
"Nhớ mang theo chứng minh thư",0
"Sáng mai 7h có mặt ở sân bay",1
"Tối nay 8h xem bóng đá tại nhà Tuấn",1
"Đừng có quên việc tôi dặn đấy",0
"Trưa mai 12h họp nhóm đồ án",1
"Lát 4h chiều chạy qua lấy chìa khóa",1
"Mọi người tập trung làm việc đi",0
"Thứ 7 tuần này 15h đi thăm thầy cô",1
"Sáng mai 9h đi bảo trì máy tính",1
"Hôm nay ăn gì cũng được",0
"Chiều nay 5h ghé siêu thị mua đồ",1
"Hẹn gặp lúc 10h tối nay tại rạp",1
"Gửi lại link drive cho mình",0
"Thứ 2 tuần sau 8h họp giao ban",1
"Tối nay 7h30 đi tập Yoga",1
"Cần người ship hộ ly trà sữa",0
"Mai 11h trưa đi ăn tiệc đầy tháng",1
"14h chiều nay gặp bên thiết kế",1
"Làm ơn trả lời tin nhắn sớm",0
"Hẹn bạn 9h sáng mai ở thư viện",1
"Chiều mai 4h có buổi test hệ thống",1
"Thời tiết này dễ ốm quá",0
"Sáng mai 10h qua ngân hàng rút tiền",1
"Tối nay 6h đi ăn lẩu băng chuyền",1
"Chưa thấy tài liệu gửi kèm",0
"Thứ 3 này 15h đi lấy kết quả khám",1
"Lát 11h trưa qua đón con",1
"Công việc dồn dập quá đi",0
"Hẹn gặp 8h tối nay bàn chuyện cưới",1
"Sáng mai 7h30 tập thể dục ở công viên",1
"Mất chìa khóa phòng rồi",0
"Chiều nay 2h30 họp khẩn cấp",1
"Cuối tuần này đi câu cá ở ngoại ô",1
"Đừng làm hỏng kế hoạch nhé",0
"Thứ 5 tuần này 9h đi ký giấy tờ",1
"Tối mai 8h đi dạo phố đi bộ",1
"Bạn đang làm gì đấy?",0
"Sáng mai 8h có lịch hẹn nha sĩ",1
"15h chiều nay sync up với team leader",1
"Cần hỗ trợ kỹ thuật gấp",0
"Hẹn gặp ở quán trà chanh lúc 9h tối",1
"Mai 10h sáng đi cắt tóc",1
"Hôm nay mệt quá không muốn ăn",0
"Thứ 6 tuần này 14h seminar tại lầu 3",1
"Chiều nay 5h đi bơi nhé",1
"Nhớ kiểm tra kỹ đầu vào",0
"Sáng mai 9h đi công chứng giấy tờ",1
"Tối nay 7h gặp nhau ở sân cầu lông",1
"Đang đợi sếp duyệt đơn",0
"10h sáng mai họp với bên Marketing",1
"Lát 12h trưa đi lấy đồ ship",1
"Máy tính chạy chậm quá",0
"Hẹn bạn 8h sáng chủ nhật đi cafe",1
"Chiều mai 3h qua kiểm kho",1
"Cái này không đúng yêu cầu",0
"Thứ 2 tuần tới 15h đi nộp thuế",1
"Tối nay 9h call trao đổi dự án",1
"Gửi báo cáo qua Zalo giúp",0
"Sáng mai 7h đi khảo sát công trình",1
"Trưa nay 11h30 gặp đối tác ở nhà hàng",1
"Dạo này béo lên rồi",0
"Hẹn gặp lúc 4h chiều tại văn phòng",1
"Chiều nay 5h30 đi đón người thân",1
"Làm ơn giữ trật tự",0
"Sáng mai 10h có buổi demo sản phẩm",1
"Tối nay 8h đi ăn ốc không",1
"Tài khoản bị khóa rồi",0
"Thứ 4 này 9h gặp bên bảo hiểm",1
"Lát 2h chiều đi lấy hóa đơn",1
"Đừng để tôi đợi lâu",0
"Hẹn gặp em 7h tối nay tại cổng trường",1
"Sáng mai 8h đi họp phụ huynh",1
"Hết tiền tiêu rồi",0
"Chiều nay 4h đi đánh bida",1
"11h trưa mai có lịch hẹn chụp ảnh",1
"Gửi lại số tài khoản đi",0
"Thứ 6 này 16h đi nhận bằng",1
"Sáng mai 9h gặp quản lý tòa nhà",1
"Mọi chuyện vẫn ổn chứ",0
"Hẹn gặp lại lúc 5h chiều nay",1
"Tối nay 7h đi coi kịch",1
"Cần tìm đại lý phân phối",0
"10h sáng mai có lịch bảo trì mạng",1
"Chiều nay 3h qua nhà bà ngoại",1
"Hôm nay lười đi làm quá",0
"Thứ 7 tuần này 9h đi học lái xe",1
"Sáng mai 7h đi ăn bún bò",1
"Nhớ mang theo tài liệu học tập",0
"Hẹn gặp tại quán xưa lúc 8h tối",1
"Lát 1h chiều đi xem nhà mẫu",1
"Đang ở trong phòng họp rồi",0
"Chiều mai 4h đi lấy kết quả xét nghiệm",1
"Tối nay 9h tham gia livestream nhé",1
"Dự án này tiềm năng quá",0
"Thứ 3 tuần sau 14h đi phỏng vấn",1
"Sáng mai 10h qua lấy bản vẽ",1
"Đừng quên khóa cửa nhé",0
"Hẹn gặp em lúc 6h tối ở rạp phim",1
"Chiều nay 5h đi tập gym cùng nhé",1
"Làm ơn giúp mình một tay",0
"10h sáng mai họp hội đồng",1
"Trưa nay 12h đi ăn chay không",1
"Đang kẹt trong thang máy",0
"Thứ 6 này 15h đi bàn hợp đồng",1
"Sáng mai 9h đi nộp đơn xin việc",1
"Check hộ cái tin nhắn này",0
"Hẹn gặp bạn lúc 8h tối nay",1
"Chiều nay 4h đi sửa điện thoại",1
"Cái task này chưa xong đâu",0
"Thứ 2 tuần sau 9h đi khai giảng",1
"Sáng mai 11h đi ăn trưa với sếp",1
"Mọi người chuẩn bị họp nhé",0
"Hẹn gặp tại điểm hẹn lúc 7h sáng",1
"Tối nay 8h đi dạo hồ Tây",1
"Đang bị đau đầu quá",0
"Chiều nay 3h qua văn phòng gặp tôi",1
"10h sáng mai đi khám sức khỏe",1
"Gửi cho tôi cái địa chỉ",0
"Thứ 5 này 14h đi ký quỹ",1
"Sáng mai 8h gặp ở quán bún riêu",1
"Làm ơn đừng làm phiền",0
"Check lại file log lúc 8h sáng qua",0
"Mai 10h sáng đi nhận xe mới nhé",1
"Tối nay rảnh không qua làm vài ván bi-a",1
"Đừng quên mang tài liệu cho cuộc họp chiều nay",0
"Sáng thứ 2 tuần sau 9h họp toàn công ty",1
"Lát 11h trưa đi ăn bánh đa cua không",1
"Báo cáo này làm từ tuần trước rồi",0
"Hẹn gặp tại sảnh lúc 2h chiều để đi khảo sát",1
"Tối mai 7h30 xem ca nhạc ở phòng trà",1
"Cần mua thêm ít đồ dùng cá nhân",0
"Chiều nay 4h qua lấy giấy tờ nhà đất",1
"10h sáng mai có buổi training về SEO",1
"Hôm nay trời nóng quá không muốn ra ngoài",0
"Thứ 6 này 15h đi thăm triển lãm tranh",1
"Sáng mai 8h30 có mặt tại công trình",1
"Gửi hộ cái định vị qua đây",0
"Trưa nay 12h đi ăn sushi nhé",1
"Tối nay 8h call video cho gia đình",1
"Đang bận xử lý sự cố server",0
"Cuối tuần này 9h sáng đi làm từ thiện",1
"Set lịch gặp tư vấn tài chính lúc 3h chiều",1
"Cái này em xem lại quy trình nhé",0
"Mai 7h sáng đi bơi ở hồ bơi gần nhà",1
"Lát 5h chiều ghé trạm xăng đổ xăng",1
"Điện thoại hết dung lượng rồi",0
"10h sáng mai ký biên bản bàn giao",1
"Chiều nay 2h đi đóng tiền điện",1
"Lương vừa về lúc nãy xong",0
"Hẹn gặp ở quán phở lúc 6h sáng mai",1
"Thứ 4 tuần sau 14h đi lấy visa",1
"Nhớ lưu file trước khi tắt máy",0
"Sáng mai 7h ra bến xe đón khách",1
"Tối nay 9h xem phim trên Netflix nhé",1
"Đừng có nói chuyện riêng trong giờ",0
"Trưa mai 11h45 đi ăn bún đậu mắm tôm",1
"Lát 4h30 chiều chạy qua lấy bánh kem",1
"Mọi người chú ý hạn chót là tối nay",0
"Thứ 7 tuần này 16h đi họp lớp cũ",1
"Sáng mai 9h đi bảo trì hệ thống điện",1
"Hôm nay gọi món gì cũng được",0
"Chiều nay 5h đi mua giày mới",1
"Hẹn gặp lúc 11h tối nay tại sân bay",1
"Gửi lại mã OTP giúp mình",0
"Thứ 2 tuần sau 8h30 khai trương chi nhánh",1
"Tối nay 7h đi học khóa làm bánh",1
"Cần người chở đi công việc tí",0
"Mai 12h trưa đi ăn tất niên",1
"14h chiều nay gặp bên thiết kế nội thất",1
"Làm ơn phản hồi lại mail sớm",0
"Hẹn bạn 10h sáng mai ở trung tâm thương mại",1
"Chiều mai 3h có buổi casting diễn viên",1
"Thời tiết này đi du lịch là nhất",0
"Sáng mai 9h qua kho kiểm kê hàng hóa",1
"Tối nay 6h đi ăn buffet nướng",1
"Chưa thấy ai gửi báo cáo ngày",0
"Thứ 3 này 15h đi lấy bằng lái xe",1
"Lát 11h trưa đón con ở trường mầm non",1
"Công việc dạo này áp lực quá",0
"Hẹn gặp 8h tối nay tại phòng trà acoustic",1
"Sáng mai 7h đi đạp xe quanh hồ",1
"Mất ví tiền rồi buồn quá",0
"Chiều nay 2h họp triển khai chiến dịch",1
"Cuối tuần này đi cắm trại ở Ba Vì",1
"Đừng có làm hỏng mọi chuyện",0
"Thứ 5 tuần này 10h đi ký kết hợp tác",1
"Tối mai 9h online bàn chuyện nhóm",1
"Bạn có đang ở văn phòng không?",0
"Sáng mai 8h có lịch hẹn soi da",1
"15h chiều nay sync up tiến độ code",1
"Cần hỗ trợ cài đặt phần mềm",0
"Hẹn gặp ở quán bia lúc 6h chiều nay",1
"Mai 11h sáng đi xem mắt",1
"Hôm nay đau họng quá không nói được",0
"Thứ 6 tuần này 14h đi nghe hội thảo",1
"Chiều nay 5h đi tập boxing nhé",1
"Nhớ format lại cái máy tính",0
"Sáng mai 9h đi nộp tiền học phí",1
"Tối nay 7h30 gặp nhau ở sân tennis",1
"Đang chờ duyệt chi phí marketing",0
"10h sáng mai họp với đối tác Nhật",1
"Lát 12h trưa qua lấy hộ đơn hàng",1
"Máy tính của tôi bị màn hình xanh",0
"Hẹn bạn 9h sáng chủ nhật đi picnic",1
"Chiều mai 4h đi trả sách thư viện",1
"Cái thiết kế này nhìn hơi cũ",0
"Thứ 2 tuần tới 15h đi gia hạn hộ chiếu",1
"Tối nay 8h30 call bàn về kế hoạch marketing",1
"Gửi giúp tôi file danh sách đại biểu",0
"Sáng mai 7h đi chụp ảnh kỷ yếu",1
"Trưa nay 11h30 gặp em ở chỗ hẹn cũ",1
"Dạo này thấy mình hơi gầy",0
"Hẹn gặp lúc 4h chiều tại quán trà sữa",1
"Chiều nay 5h đi đón em gái ở ga",1
"Làm ơn đừng có làm ồn",0
"Sáng mai 10h có buổi ra mắt phim",1
"Tối nay 8h đi ăn chè không",1
"Tài khoản của bạn đã bị đăng xuất",0
"Thứ 4 này 9h gặp bên sở kế hoạch",1
"Lát 2h chiều đi lấy kết quả phẫu thuật",1
"Đừng để mọi người phải chờ",0
"Hẹn gặp em 7h tối nay tại phố đi bộ",1
"Sáng mai 8h đi đóng tiền bảo hiểm",1
"Hết pin điện thoại rồi",0
"Chiều nay 4h đi chơi bowling",1
"11h trưa mai có lịch hẹn phỏng vấn báo chí",1
"Gửi lại thông tin cá nhân đi",0
"Thứ 6 này 16h đi nhận xe",1
"Sáng mai 9h gặp chủ đầu tư",1
"Mọi việc vẫn tiến triển tốt",0
"Hẹn gặp lại lúc 5h chiều nay tại cổng",1
"Tối nay 7h đi xem ảo thuật",1
"Cần tìm nguồn hàng sỉ",0
"10h sáng mai có lịch bảo trì thang máy",1
"Chiều nay 3h qua thăm ông nội",1
"Hôm nay lười dậy sớm quá",0
"Thứ 7 tuần này 9h đi workshop vẽ tranh",1
"Sáng mai 7h đi ăn phở thìn",1
"Nhớ mang theo bút để ký",0
"Hẹn gặp tại quán cafe rooftop lúc 8h tối",1
"Lát 1h chiều đi xem mặt bằng kinh doanh",1
"Đang bận họp với ban giám đốc",0
"Chiều mai 4h đi lấy thuốc cho mẹ",1
"Tối nay 9h vào Zoom học tiếng Anh",1
"Cái app này dùng mượt đấy",0
"Thứ 3 tuần sau 14h đi phỏng vấn xin việc",1
"Sáng mai 10h qua lấy tài liệu hướng dẫn",1
"Đừng quên tắt điện khi ra về",0
"Hẹn gặp em lúc 6h tối ở sảnh rạp",1
"Chiều nay 5h đi tập nhảy không",1
"Làm ơn giúp mình check cái này",0
"10h sáng mai họp đại hội cổ đông",1
"Trưa nay 12h đi ăn lẩu thái không",1
"Đang kẹt trong đám cưới chưa về được",0
"Thứ 6 này 15h đi bàn phương án thi công",1
"Sáng mai 9h đi nộp hồ sơ nhập học",1
"Check hộ cái mã giảm giá này",0
"Hẹn gặp đối tác lúc 8h tối nay tại khách sạn",1
"Chiều nay 4h đi sửa đồng hồ",1
"Cái task này cần làm lại",0
"Thứ 2 tuần sau 9h đi tổng kết năm",1
"Sáng mai 11h đi ăn trưa với khách hàng",1
"Mọi người chuẩn bị tinh thần họp",0
"Hẹn gặp tại điểm tập kết lúc 7h sáng",1
"Tối nay 8h đi dạo quanh hồ Gươm",1
"Đang bị cảm cúm nặng quá",0
"Chiều nay 3h qua văn phòng ký hợp đồng",1
"10h sáng mai đi khám định kỳ",1
"Gửi cho mình cái link tham gia",0
"Thứ 5 này 14h đi rút tiền tiết kiệm",1
"Sáng mai 8h gặp ở quán cafe góc phố",1
"Làm ơn đừng có làm phiền tôi nữa",0
